Name,Formula,Property,Value,Unit
Aluminium bromide,AlBr3Al2Br6,OtherAnions,[[aluminium trichloride]] [[aluminium triiodide]],
Aluminium bromide,AlBr3Al2Br6,OtherCations,[[boron tribromide]],
Aluminium bromide,AlBr3Al2Br6,OtherCompounds,[[iron(III) bromide]],
Aluminium carbide,Al4C3,StdInChI_Ref,{{stdinchicite|correct|chemspider}},
Aluminium carbide,Al4C3,StdInChI,1S/3C.4Al/q3*-4;4*+3,
Aluminium carbide,Al4C3,StdInChIKey_Ref,{{stdinchicite|correct|chemspider}},
Aluminium carbide,Al4C3,StdInChIKey,TWHBEKGYWPPYQL-UHFFFAOYSA-N,
Aluminium carbide,Al4C3,CASNo,1299-86-1,
Aluminium carbide,Al4C3,CASNo_Ref,{{cascite|correct|CAS}},
Aluminium carbide,Al4C3,CASNo2_Ref,{{cascite|changed|??}},
Aluminium carbide,Al4C3,CASNo2,12656-43-8,
Aluminium carbide,Al4C3,PubChem,16685054,
Aluminium carbide,Al4C3,ChemSpiderID,21241412,
Aluminium carbide,Al4C3,ChemSpiderID_Ref,{{chemspidercite|correct|chemspider}},
Aluminium carbide,Al4C3,EINECS,215-076-2,
Aluminium carbide,Al4C3,UNNumber,UN 1394,
Aluminium carbide,Al4C3,MeSHName,Aluminum+carbide,
Aluminium carbide,Al4C3,SMILES,[Al+3].[Al+3].[Al+3].[Al+3].[C-4].[C-4].[C-4],
Aluminium carbide,Al4C3,InChI,1/3C.4Al/q3*-4;4*+3,
Aluminium carbide,Al4C3,InChIKey,TWHBEKGYWPPYQL-UHFFFAOYAR,
Aluminium carbide,Al4C3,MolarMass,143.95853,g/mol
Aluminium carbide,Al4C3,Appearance,colorless (when pure) hexagonal crystals,
Aluminium carbide,Al4C3,Odor,odorless,
Aluminium carbide,Al4C3,Density,2.36,g/cm3
Aluminium carbide,Al4C3,Solubility,decomposes,
Aluminium carbide,Al4C3,CrystalStruct,0.3335,"nm, b = 0.3335 nm, c = 0.85422 nm, α = 78.743 °, β = 78.743 °, γ = 60 °"
Aluminium carbide,Al4C3,DeltaHf,-209,kJ/mol
Aluminium carbide,Al4C3,DeltaGf,-196,kJ/mol
Aluminium carbide,Al4C3,Entropy,88.95,J/mol K
Aluminium carbide,Al4C3,HeatCapacity,116.8,J/mol K
Aluminium iodide,AlI3,InChIKey,CECABOMBVQNBEC-DFZHHIFOAE,
Aluminium iodide,AlI3,CASNo_Ref,{{cascite|correct|??}},
Aluminium iodide,AlI3,CASNo,7784-23-8,
Aluminium iodide,AlI3,CASNo_Comment,(anhydrate),
Aluminium iodide,AlI3,CASNo1_Ref,{{cascite|correct|??}},
Aluminium iodide,AlI3,CASNo1,10090-53-6,
Aluminium iodide,AlI3,CASNo1_Comment,(hexahydrate),
Aluminium iodide,AlI3,PubChem,82222,
Aluminium iodide,AlI3,PubChem_Comment,(anhydrate),
Aluminium iodide,AlI3,ChemSpiderID,74202,
Aluminium iodide,AlI3,ChemSpiderID_Comment,(anhydrate),
Aluminium iodide,AlI3,ChemSpiderID_Ref,{{chemspidercite|correct|chemspider}},
Aluminium iodide,AlI3,EINECS,232-054-8,
Aluminium iodide,AlI3,UNNumber,UN 3260,
Aluminium iodide,AlI3,SMILES,I[Al](I)I,
Aluminium iodide,AlI3,StdInChI_Ref,{{stdinchicite|changed|chemspider}},
Aluminium iodide,AlI3,StdInChIKey_Ref,{{stdinchicite|correct|chemspider}},
Aluminium iodide,AlI3,StdInChIKey,CECABOMBVQNBEC-UHFFFAOYSA-K}},
Aluminium iodide,AlI3,MolarMass,407.69495,g/mol (anhydrous)  515.786 g/mol (hexahydrate)
Aluminium iodide,AlI3,Appearance,white powderbut impure samplesare often brown,
Aluminium iodide,AlI3,Density,3.98,g/cm3 (anhydrous)  2.63 g/cm3 (hexahydrate)
Aluminium iodide,AlI3,MeltingPtC,189.4,
Aluminium iodide,AlI3,MeltingPt_notes,"(anhydrous)  185&nbsp;°C, decomposes (hexahydrate)",
Aluminium iodide,AlI3,BoilingPtC,360,
Aluminium iodide,AlI3,BoilingPt_notes,", sublimes",
Aluminium iodide,AlI3,Solubility,reacts violently (anhydrous)  soluble (hexahydrate),
Aluminium iodide,AlI3,Solvent,"[[alcohol]], [[ether]]",
Aluminium iodide,AlI3,SolubleOther,soluble (hexahydrate),
Aluminium nitride,Al=1 | N=1,ChemSpiderID_Ref,{{chemspidercite|correct|chemspider}},
Aluminium nitride,Al=1 | N=1,ChemSpiderID,81668,
Aluminium nitride,Al=1 | N=1,InChI,1/Al.N/rAlN/c1-2,
Aluminium nitride,Al=1 | N=1,ChEBI_Ref,{{ebicite|correct|EBI}},
Aluminium nitride,Al=1 | N=1,ChEBI,50884,
Aluminium nitride,Al=1 | N=1,SMILES,[Al]#N,
Aluminium nitride,Al=1 | N=1,InChIKey,PIGFYZPCRLYGLF-PXKYIXAJAH,
Aluminium nitride,Al=1 | N=1,StdInChI_Ref,{{stdinchicite|correct|chemspider}},
Aluminium nitride,Al=1 | N=1,StdInChI,1S/Al.N,
Aluminium nitride,Al=1 | N=1,StdInChIKey_Ref,{{stdinchicite|correct|chemspider}},
Aluminium nitride,Al=1 | N=1,StdInChIKey,PIGFYZPCRLYGLF-UHFFFAOYSA-N,
Aluminium nitride,Al=1 | N=1,CASNo,24304-00-5,
Aluminium nitride,Al=1 | N=1,CASNo_Ref,{{cascite|correct|CAS}},
Aluminium nitride,Al=1 | N=1,PubChem,90455,
Aluminium nitride,Al=1 | N=1,EINECS,246-140-8,
Aluminium nitride,Al=1 | N=1,RTECS,BD1055000,
Aluminium nitride,Al=1 | N=1,MolarMass,40.9882,g/mol
Aluminium nitride,Al=1 | N=1,Appearance,white to pale-yellow solid,
Aluminium nitride,Al=1 | N=1,Density,3.260,g/cm3
Aluminium nitride,Al=1 | N=1,MeltingPtC,2200,
Aluminium nitride,Al=1 | N=1,BoilingPtC,2517,
Aluminium nitride,Al=1 | N=1,BoilingPt_notes,decomposes,
Aluminium nitride,Al=1 | N=1,Solubility,"hydrolyses (powder), insoluble (monocrystalline)",
Aluminium nitride,Al=1 | N=1,SolubleOther,"insoluble, subject of hydrolysis in water solutions of bases and acids",
Aluminium nitride,Al=1 | N=1,BandGap,6.015,eV  ([[Direct and indirect band gaps|direct]])
Aluminium nitride,Al=1 | N=1,ElectronMobility,300,cm2/(V·s)
Aluminium nitride,Al=1 | N=1,ThermalConductivity,285,W/(m·K)
Aluminium nitride,Al=1 | N=1,RefractIndex,1.9–2.2,
Aluminium nitride,Al=1 | N=1,CrystalStruct,[[Wurtzite]],
Aluminium nitride,Al=1 | N=1,SpaceGroup,''C''6v4-''P''63''mc'',
Aluminium nitride,Al=1 | N=1,Coordination,Tetrahedral,
Aluminium nitride,Al=1 | N=1,DeltaHf,318,kJ/mol
Aluminium nitride,Al=1 | N=1,DeltaGf,287.4,kJ/mol
Aluminium nitride,Al=1 | N=1,Entropy,20.2,J/mol K
Aluminium nitride,Al=1 | N=1,HeatCapacity,30.1,J/mol K
Aluminium nitride,Al=1 | N=1,NFPA-H,1,| NFPA-F = 0 | NFPA-R = 0
Aluminium oxide,Al=2 | O=3,UNII_Ref,{{fdacite|correct|FDA}},
Aluminium oxide,Al=2 | O=3,UNII,LMI26O6933,
Aluminium oxide,Al=2 | O=3,InChI,1/2Al.3O/q2*+3;3*-2,
Aluminium oxide,Al=2 | O=3,SMILES,[Al+3].[Al+3].[O-2].[O-2].[O-2],
Aluminium oxide,Al=2 | O=3,InChIKey,PNEYBMLMFCGWSK-UHFFFAOYAC,
Aluminium oxide,Al=2 | O=3,PubChem,9989226,
Aluminium oxide,Al=2 | O=3,SMILES1,[O-2].[O-2].[O-2].[Al+3].[Al+3],
Aluminium oxide,Al=2 | O=3,StdInChI_Ref,{{stdinchicite|correct|chemspider}},
Aluminium oxide,Al=2 | O=3,StdInChI,1S/2Al.3O/q2*+3;3*-2,
Aluminium oxide,Al=2 | O=3,StdInChIKey_Ref,{{stdinchicite|correct|chemspider}},
Aluminium oxide,Al=2 | O=3,StdInChIKey,PNEYBMLMFCGWSK-UHFFFAOYSA-N,
Aluminium oxide,Al=2 | O=3,CASNo_Ref,{{cascite|correct|CAS}},
Aluminium oxide,Al=2 | O=3,CASNo,1344-28-1,
Aluminium oxide,Al=2 | O=3,ChemSpiderID_Ref,{{chemspidercite|correct|chemspider}},
Aluminium oxide,Al=2 | O=3,ChemSpiderID,8164808,
Aluminium oxide,Al=2 | O=3,RTECS,BD120000,
Aluminium oxide,Al=2 | O=3,Appearance,white solid,
Aluminium oxide,Al=2 | O=3,Odor,odorless,
Aluminium oxide,Al=2 | O=3,Density,4.1,g/cm3
Aluminium oxide,Al=2 | O=3,Solubility,insoluble,
Aluminium oxide,Al=2 | O=3,SolubleOther,insoluble in [[diethyl ether]]  practically insoluble in [[ethanol]],
Aluminium oxide,Al=2 | O=3,MeltingPt,{{convert|2072|°C|°F K|abbr=on}},
Aluminium oxide,Al=2 | O=3,BoilingPt,{{convert|2977|°C|°F K|abbr=on}},
Aluminium oxide,Al=2 | O=3,ThermalConductivity,30&nbsp;W·m−1·K−1,
Aluminium oxide,Al=2 | O=3,RefractIndex,1.772,nε=1.760–1.763  [[Birefringence]] 0.008
Aluminium oxide,Al=2 | O=3,CrystalStruct,"[[Trigonal]], [[Pearson symbol|hR30]], [[space group]] = R{{overline|3}}c, No. 167",
Aluminium oxide,Al=2 | O=3,Coordination,[[octahedral]],
Aluminium oxide,Al=2 | O=3,LattConst_a,478.5,pm
Aluminium oxide,Al=2 | O=3,LattConst_c,1299.1,pm
Aluminium oxide,Al=2 | O=3,DeltaHf,−1675.7&nbsp;kJ·mol−1,
Aluminium oxide,Al=2 | O=3,Entropy,50.92&nbsp;J·mol−1·K−1,
Aluminium oxide,Al=2 | O=3,ATCCode_prefix,D10,
Aluminium oxide,Al=2 | O=3,ATCCode_suffix,AX04,
Aluminium oxide,Al=2 | O=3,PEL,15,mg/m3 (Total Dust)OSHA 5 mg/m3 (Respirable Fraction)ACGIH/TLV 10 mg/m3
Aluminium oxide,Al=2 | O=3,EUClass,Not listed.,
Aluminium oxide,Al=2 | O=3,FlashPt,Non-flammable,
Aluminium oxide,Al=2 | O=3,NFPA-H,1|NFPA-F = 0|NFPA-R = 0,
Aluminium oxide,Al=2 | O=3,REL,none,
Aluminium oxide,Al=2 | O=3,OtherAnions,[[aluminium hydroxide]],
Aluminium oxide,Al=2 | O=3,OtherCations,[[boron trioxide]][[gallium oxide]][[indium oxide]][[thallium oxide]]}},
Aluminium phosphide,Al=1 | P=1,ChemSpiderID_Ref,{{chemspidercite|correct|chemspider}},
Aluminium phosphide,Al=1 | P=1,ChemSpiderID,28171,
Aluminium phosphide,Al=1 | P=1,UNII_Ref,{{fdacite|correct|FDA}},
Aluminium phosphide,Al=1 | P=1,UNII,E23DR6L59S,
Aluminium phosphide,Al=1 | P=1,InChI,1/Al.P/rAlP/c1-2,
Aluminium phosphide,Al=1 | P=1,SMILES,[Al]#P,
Aluminium phosphide,Al=1 | P=1,InChIKey,PPNXXZIBFHTHDM-LQQCNYPFAR,
Aluminium phosphide,Al=1 | P=1,StdInChI_Ref,{{stdinchicite|correct|chemspider}},
Aluminium phosphide,Al=1 | P=1,StdInChI,1S/Al.P,
Aluminium phosphide,Al=1 | P=1,StdInChIKey_Ref,{{stdinchicite|correct|chemspider}},
Aluminium phosphide,Al=1 | P=1,StdInChIKey,PPNXXZIBFHTHDM-UHFFFAOYSA-N,
Aluminium phosphide,Al=1 | P=1,CASNo,20859-73-8,
Aluminium phosphide,Al=1 | P=1,CASNo_Ref,{{cascite|correct|CAS}},
Aluminium phosphide,Al=1 | P=1,PubChem,30332,
Aluminium phosphide,Al=1 | P=1,RTECS,BD1400000,
Aluminium phosphide,Al=1 | P=1,EINECS,244-088-0,
Aluminium phosphide,Al=1 | P=1,MolarMass,57.9552,g/mol
Aluminium phosphide,Al=1 | P=1,Appearance,Yellow or gray crystals,
Aluminium phosphide,Al=1 | P=1,Odor,garlic-like,
Aluminium phosphide,Al=1 | P=1,Density,2.85,g/cm3
Aluminium phosphide,Al=1 | P=1,Solubility,reacts,
Aluminium phosphide,Al=1 | P=1,MeltingPtC,2530,
Aluminium phosphide,Al=1 | P=1,BandGap,2.5,eV (indirect)
Aluminium phosphide,Al=1 | P=1,RefractIndex,2.75,"(IR), ~3 (Vis)"
Aluminium phosphide,Al=1 | P=1,CrystalStruct,[[Zincblende (crystal structure)|Zincblende]],
Aluminium phosphide,Al=1 | P=1,SpaceGroup,T2d-F{{overline|4}}3m,
Aluminium phosphide,Al=1 | P=1,LattConst_a,546.35,pm
Aluminium phosphide,Al=1 | P=1,Coordination,Tetrahedral,
Aluminium phosphide,Al=1 | P=1,DeltaHf,-164.4,kJ/mol
Aluminium phosphide,Al=1 | P=1,Entropy,47.3,J/mol K
Aluminium phosphide,Al=1 | P=1,ExternalSDS,[http://physchem.ox.ac.uk/MSDS/AL/aluminium_phosphide.html External MSDS],
Aluminium phosphide,Al=1 | P=1,FlashPt,>,
Aluminium phosphide,Al=1 | P=1,FlashPtC,800,
Aluminium phosphide,Al=1 | P=1,EUClass,{{Hazchem T}}  {{Hazchem N}},
Aluminium phosphide,Al=1 | P=1,NFPA-H,4|NFPA-F = 4|NFPA-R = 2|NFPA-S = W,
Aluminium phosphide,Al=1 | P=1,LD50,11.5,mg/kg
Aluminium chloride,AlCl3,UNII_Ref,{{fdacite|correct|FDA}},
Aluminium chloride,AlCl3,UNII,LIF1N9568Y,
Aluminium chloride,AlCl3,InChI,1/Al.3ClH/h;3*1H/q+3;;;/p-3,
Aluminium chloride,AlCl3,ChEBI_Ref,{{ebicite|correct|EBI}},
Aluminium chloride,AlCl3,ChEBI,30114,
Aluminium chloride,AlCl3,SMILES,Cl[Al](Cl)Cl,
Aluminium chloride,AlCl3,InChIKey,VSCWAEJMTAWNJL-DFZHHIFOAR,
Aluminium chloride,AlCl3,SMILES1,[Al](Cl)(Cl)Cl,
Aluminium chloride,AlCl3,StdInChI_Ref,{{stdinchicite|correct|chemspider}},
Aluminium chloride,AlCl3,StdInChI,1S/Al.3ClH/h;3*1H/q+3;;;/p-3,
Aluminium chloride,AlCl3,StdInChIKey_Ref,{{stdinchicite|correct|chemspider}},
Aluminium chloride,AlCl3,StdInChIKey,VSCWAEJMTAWNJL-UHFFFAOYSA-K,
Aluminium chloride,AlCl3,CASNo,7446-70-0,
Aluminium chloride,AlCl3,CASNo_Ref,{{cascite|correct|CAS}},
Aluminium chloride,AlCl3,CASNo_Comment,(anhydrous),
Aluminium chloride,AlCl3,CASNo1_Ref,{{cascite|changed|??}},
Aluminium chloride,AlCl3,CASNo1,10124-27-3,
Aluminium chloride,AlCl3,CASNo1_Comment,(hydrate),
Aluminium chloride,AlCl3,CASNo2_Ref,{{cascite|changed|??}},
Aluminium chloride,AlCl3,CASNo2,7784-13-6,
Aluminium chloride,AlCl3,CASNo2_Comment,(hexahydrate),
Aluminium chloride,AlCl3,ChemSpiderID_Ref,{{chemspidercite|correct|chemspider}},
Aluminium chloride,AlCl3,ChemSpiderID,22445,
Aluminium chloride,AlCl3,PubChem,24012,
Aluminium chloride,AlCl3,RTECS,BD0530000,
Aluminium chloride,AlCl3,Gmelin,1876,
Aluminium chloride,AlCl3,MolarMass,133.34,g/mol (anhydrous)241.43 g/mol (hexahydrate)
Aluminium chloride,AlCl3,Appearance,"white or pale yellow solid,[[hygroscopic]]",
Aluminium chloride,AlCl3,Density,2.48,g/cm3 (anhydrous) 1.3 g/cm3 (hexahydrate)
Aluminium chloride,AlCl3,Solubility,43.9,g/100 ml (0 °C)44.9 g/100 ml (10 °C)45.8 g/100 ml (20 °C)46.6 g/100 ml (30 °C)47.3 g/100 ml (40 °C)48.1 g/100 ml (60 °C)48.6 g/100 ml (80 °C)49 g/100 ml (100 °C)
Aluminium chloride,AlCl3,SolubleOther,"soluble in hydrogen chloride, ethanol, chloroform, carbon tetrachloride  slightly soluble in benzene",
Aluminium chloride,AlCl3,MeltingPtC,192.4,
Aluminium chloride,AlCl3,MeltingPt_notes,(anhydrous) {{convert|100|C|F K}} (hexahydrate) {{convert|180|C|F K}} (sublimes),
Aluminium chloride,AlCl3,BoilingPtC,120,
Aluminium chloride,AlCl3,BoilingPt_notes,(hexahydrate),
Aluminium chloride,AlCl3,Viscosity,0.35,cP (197 °C) 0.26 cP (237 °C)
Aluminium chloride,AlCl3,VaporPressure,133.3,Pa (99 °C) 13.3 kPa (151 °C)
Aluminium chloride,AlCl3,MolShape,Trigonal planar([[monomer]]ic vapour),
Aluminium chloride,AlCl3,Coordination,Octahedral (solid)Tetrahedral (liquid),
Aluminium chloride,AlCl3,CrystalStruct,"[[Monoclinic]], [[Pearson symbol|mS16]]",
Aluminium chloride,AlCl3,SpaceGroup,"C12/m1, No. 12",
Aluminium chloride,AlCl3,DeltaHf,704.2,kJ/mol
Aluminium chloride,AlCl3,Entropy,111,J/mol·K
Aluminium chloride,AlCl3,DeltaGf,-628.6,kJ/mol
Aluminium chloride,AlCl3,HeatCapacity,91,J/mol·K
Aluminium chloride,AlCl3,ATCCode_prefix,D10,
Aluminium chloride,AlCl3,ATCCode_suffix,AX01,
Aluminium chloride,AlCl3,GHSPictograms,{{GHS05}},
Aluminium chloride,AlCl3,GHSSignalWord,Danger,
Aluminium chloride,AlCl3,HPhrases,{{H-phrases|314}},
Aluminium chloride,AlCl3,PEL,none,
Aluminium chloride,AlCl3,REL,2,mg/m3
Aluminium chloride,AlCl3,OtherAnions,[[Aluminium fluoride]][[Aluminium bromide]][[Aluminium iodide]],
